mof_name,metal,linker_smiles,surface_func_group,temperature_celsius,reaction_time_hours,solvent,topology,surface_area_m2g,pore_diameter_angstrom,void_fraction,formation_energy_kJ_mol
MOF_0000,Co,C1=CC(=C(C=C1)C(=O)O)C(=O)O,Formic acid,97,27.555301794712896,MeOH,pcu,2572.426337741679,3.4252575821445204,0.33775238533550983,-52.408365880981286
MOF_0001,Al,C1=CC(=CC=C1)C(=O)O,No additive,78,31.954227255166124,H2O,pcu,3297.1754723225376,13.265925823609495,0.30548593004635416,-46.74803382863578
MOF_0002,Ni,C1=CC(=CC=C1)C(=O)O,AcOH,120,12.64542654607329,EtOH,dia,1701.9274504828827,5.470379757722643,0.3935470367020014,-50.44729083239909
MOF_0003,Cr,C1=CC(=CC=C1)C(=O)O,NH4OH,144,13.31681793030646,CHCl3,mtn,3120.68643495238,16.575195559795482,0.24053172978652065,-41.28667690242368
MOF_0004,Co,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)O,No additive,82,5.825882322435881,CHCl3,pcu,2841.884097241666,17.561659340328283,0.219744513788583,-49.51234184130628
MOF_0005,Tb,C1=CC(=CC=C1)C(=O)O,NaOH,107,18.17097154861211,H2O,pcu,3274.7560452390658,11.195589819510143,0.5630853180817207,-45.39773176424865
MOF_0006,Fe,C1=CC(=C(C=C1C(=O)O)C(=O)O)O,Pyridine,114,28.628765098681697,DMF,bcu,1444.0142873786153,16.314764769889077,0.5714882816295141,-45.82515683616493
MOF_0007,Co,C1=CC(=CC=C1C(=O)O)C(=O)O,HCl,114,41.749136215882466,EtOH,cmo,1825.640634299443,5.466882503187287,0.5177529215829739,-54.19211654818508
MOF_0008,Ni,C1=CC(=CC=C1)C(=O)O,NaOH,102,33.34480768818195,H2O,bcu,1298.1166989497979,11.365329171105984,0.6573711171390346,-46.330885058058044
MOF_0009,Cr,C1=CC(=CC=C1C(=O)O)C(=O)O,Formic acid,122,23.15743822958906,MeOH,dia,2284.9724990879604,9.69705249973994,0.2234903265662468,-47.75083084425005
MOF_0010,Al,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)O,AcOH,114,45.937285033342064,EtOH,mtn,2695.2441574455324,13.392395579902383,0.7615838649256808,-47.447525132427074
MOF_0011,Ni,C1=CC(=CC=C1C(=O)O)C(=O)O,Formic acid,62,35.6467888253366,CHCl3,cmo,1505.847126749118,3.7561122096537196,0.2570390739542363,-47.58741508449477
MOF_0012,Ni,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)O,NH4OH,126,44.9272689259522,H2O,bcu,1085.055683758182,15.786088250226666,0.6044137966361562,-46.874027181237345
MOF_0013,Fe,C1=CC(=C(C=C1C(=O)O)C(=O)O)O,NH4OH,126,27.213870823975288,CHCl3,pcu,2774.523195672112,4.345197921069623,0.2800379533644856,-47.36686445755747
